"scenario","n","method","quantity","time","n_success","bias","mse","rmse","se"
"S3_Mixture_misspecified",50,"AIC_MA","hazard",150,30,0.000302338497177709,3.46574258289199e-07,0.000588705578612262,0.000513774764229245
"S3_Mixture_misspecified",50,"AIC_MA","hazard",200,30,-6.56893899055334e-05,3.28962158029074e-07,0.000573552227812842,0.000579518583275493
"S3_Mixture_misspecified",50,"AIC_MA","mean",NA,30,-6.5014668521401,5755.83564974601,75.8672238173114,76.8803363397089
"S3_Mixture_misspecified",50,"AIC_MA","probability",NA,30,-0.275596157735272,0.118735301472326,0.344579891276792,0.210374196940825
"S3_Mixture_misspecified",50,"Best_AIC","hazard",150,30,0.000337955906941408,4.49888951967272e-07,0.000670737617826279,0.000589279007388674
"S3_Mixture_misspecified",50,"Best_AIC","hazard",200,30,8.10763316649187e-06,4.34373572087516e-07,0.000659070233046157,0.000670286484072003
"S3_Mixture_misspecified",50,"Best_AIC","mean",NA,30,-3.64307644649097,6483.87636321316,80.5225208448739,81.8152103547874
"S3_Mixture_misspecified",50,"Best_AIC","probability",NA,30,-0.270189035490881,0.122897728184394,0.350567722679076,0.227191882940468
"S3_Mixture_misspecified",100,"AIC_MA","hazard",150,30,0.000214484737082214,2.11454269443287e-07,0.000459841569938264,0.000413709752081878
"S3_Mixture_misspecified",100,"AIC_MA","hazard",200,30,-0.000142270416142255,2.57510737612946e-07,0.000507455158228731,0.000495430707396471
"S3_Mixture_misspecified",100,"AIC_MA","mean",NA,30,17.072317699238,4802.54257645457,69.3003793384608,68.312758525851
"S3_Mixture_misspecified",100,"AIC_MA","probability",NA,30,-0.315468456612285,0.122104045506742,0.349433892899274,0.152847789024667
"S3_Mixture_misspecified",100,"Best_AIC","hazard",150,30,0.000219953669807651,2.16936742997585e-07,0.000465764686292966,0.000417575670783234
"S3_Mixture_misspecified",100,"Best_AIC","hazard",200,30,-0.000126524147725654,2.5894712471337e-07,0.000508868474866905,0.000501314236323232
"S3_Mixture_misspecified",100,"Best_AIC","mean",NA,30,16.7577701690308,5244.24892971118,72.4171867011635,71.6559745710769
"S3_Mixture_misspecified",100,"Best_AIC","probability",NA,30,-0.31468658579085,0.121839825524045,0.349055619527956,0.153619025786059
