"scenario","n","method","quantity","time","median_estimate","median_error","mae","median_abs_error","max_abs_error"
"S2_Weibull_challenging",100,"Generating","hazard",200,0.00257631795257333,-5.88248968259998e-05,0.000201727301781005,0.000178865860304474,0.000486698421877455
"S2_Weibull_challenging",100,"Generating","mean",NA,391.426265050097,11.6792132329124,43.5428007699317,36.0900061338171,133.740569033898
"S2_Weibull_challenging",100,"Generating","probability",NA,0.493162714246075,-0.142368648231897,0.176995647565202,0.17399664291806,0.379547963682862
"S3_Mixture_misspecified",20,"AIC_MA","hazard",150,0.00282612826118585,3.09502880298652e-06,0.000643835701171462,0.000522503065838015,0.00181464813419542
"S3_Mixture_misspecified",20,"AIC_MA","hazard",200,0.00311865186460187,-0.000294109364978649,0.000830034874026845,0.000843254675069173,0.00153646389558668
"S3_Mixture_misspecified",20,"AIC_MA","mean",NA,356.982386649426,-42.891139259167,1.9225472560305e+48,85.9766230606191,5.76764176809151e+49
"S3_Mixture_misspecified",20,"AIC_MA","probability",NA,0.238517019447193,-0.323379299911117,0.387477525863653,0.354418823942114,1.31766058419644
"S3_Mixture_misspecified",20,"Best_AIC","hazard",150,0.00281558589505701,-7.44733732585458e-06,0.000661272756317171,0.000527471316757293,0.00168934032726036
"S3_Mixture_misspecified",20,"Best_AIC","hazard",200,0.00291308879983073,-0.000499672429749797,0.000871235001409235,0.000881081536050736,0.00184124941559672
"S3_Mixture_misspecified",20,"Best_AIC","mean",NA,346.996711388175,-52.8768145204176,126.170232659172,89.0534654148334,564.12267667089
"S3_Mixture_misspecified",20,"Best_AIC","probability",NA,0.213308518553043,-0.348587800805267,0.393114646672576,0.408847020726174,1.30146807797775
"S3_Mixture_misspecified",50,"AIC_MA","hazard",150,0.00305299614944704,0.000229962917064175,0.000462860066241392,0.000283163170654403,0.00145437946147832
"S3_Mixture_misspecified",50,"AIC_MA","hazard",200,0.00325006317226347,-0.000162698057317056,0.000490040489439898,0.000481890513200185,0.00136844576251095
"S3_Mixture_misspecified",50,"AIC_MA","mean",NA,392.541351959343,-7.33217394924981,54.7411334171239,33.982570244658,238.496775776715
"S3_Mixture_misspecified",50,"AIC_MA","probability",NA,0.280845816820216,-0.281050502538094,0.288743622220672,0.281050502538094,0.617968439576068
"S3_Mixture_misspecified",50,"Best_AIC","hazard",150,0.00310902872969907,0.0002859954973162,0.000516608287869336,0.000426836950933139,0.00175289343267707
"S3_Mixture_misspecified",50,"Best_AIC","hazard",200,0.00333399629353588,-7.87649360446403e-05,0.00053777896456629,0.000481206244723419,0.00161240608515718
"S3_Mixture_misspecified",50,"Best_AIC","mean",NA,386.157260048095,-13.7162658604975,59.0055078186037,39.9492220986334,248.05996695499
"S3_Mixture_misspecified",50,"Best_AIC","probability",NA,0.292578914070647,-0.269317405287663,0.294336508711904,0.269317405287663,0.629962250908516
"S3_Mixture_misspecified",100,"AIC_MA","hazard",150,0.00297171766453743,0.000148684432154567,0.000354849518971415,0.000271850658146799,0.00106148687608099
"S3_Mixture_misspecified",100,"AIC_MA","hazard",200,0.00319628445790676,-0.000216476771673765,0.000425548882938351,0.0003740646040892,0.00110673282626043
"S3_Mixture_misspecified",100,"AIC_MA","mean",NA,412.034528324005,12.1610024154128,54.5276940840059,40.2642464368083,213.927180229134
"S3_Mixture_misspecified",100,"AIC_MA","probability",NA,0.234351203397663,-0.327545115960647,0.315468456612285,0.327545115960647,0.607835519869696
"S3_Mixture_misspecified",100,"Best_AIC","hazard",150,0.0030059174578974,0.000182884225514538,0.000365068689807878,0.000278238749216045,0.00106151939309512
"S3_Mixture_misspecified",100,"Best_AIC","hazard",200,0.00327319150594942,-0.0001395697236311,0.000408482622890682,0.000394212575113965,0.00111678225006203
"S3_Mixture_misspecified",100,"Best_AIC","mean",NA,420.805785206724,20.9322592981314,58.3706267439224,49.9704363092035,213.953647254927
"S3_Mixture_misspecified",100,"Best_AIC","probability",NA,0.234385421125293,-0.327510898233018,0.31468658579085,0.327510898233018,0.60848926454496
